City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saint-François,98,FR,1583030599,61,46.42,3.91,46.4,4.7
Buchanan,57,LR,1583030600,96,5.88,-10.05,76.95,3.91
Nanga Eboko,79,CM,1583030602,84,4.68,12.37,73.85,5.7
Yulara,100,AU,1583030468,30,-25.24,130.99,96.8,17.22
Poum,85,NC,1583030604,82,-20.23,164.02,83.26,14.94
Vulturu,72,RO,1583030605,70,45.62,27.42,39.45,14.23
Vieques,1,PR,1583030606,78,18.43,-65.83,78.8,4.7
Pitimbu,20,BR,1583030607,83,-7.47,-34.81,80.6,1.12
Te Anau,8,NZ,1583030608,68,-45.42,167.72,60.06,0.36
Sehwan,0,PK,1583030610,77,26.43,67.86,60.8,4.7
Saint-Pierre,21,RE,1583030611,78,-21.34,55.48,77.0,3.36
Chiang Klang,20,TH,1583030612,83,19.29,100.86,75.2,3.36
Muroto-misakicho,75,JP,1583030613,62,33.28,134.15,57.2,3.36
Grand Gaube,40,MU,1583030614,94,-20.01,57.66,77.0,5.12
Biak,80,ID,1583030615,69,-0.91,122.88,87.37,5.55
Markala,1,ML,1583030617,7,13.7,-6.07,71.69,9.66
Taoudenni,0,ML,1583030572,16,22.68,-3.98,66.72,6.4
Aklavik,20,CA,1583030619,69,68.22,-135.01,-13.0,4.7
Tecpan,20,GT,1583030620,72,14.76,-90.99,60.8,25.28
Egvekinot,0,RU,1583030621,83,66.32,-179.17,0.28,7.47
Alexandria,2,EG,1583030551,72,31.22,29.96,53.01,8.86
Vestmannaeyjar,100,IS,1583030624,71,63.44,-20.27,38.57,21.63
Pyinmana,0,MM,1583030625,23,19.73,96.22,88.18,3.76
Mandalgovi,100,MN,1583030626,54,45.76,106.27,19.08,19.35
Semey,34,KZ,1583030627,85,50.41,80.23,12.2,11.18
Ubinskoye,100,RU,1583030628,88,55.31,79.68,25.05,9.33
Ranfurly,56,NZ,1583030629,49,-45.13,170.1,73.0,5.82
Saldanha,0,ZA,1583030486,36,-33.01,17.94,75.2,3.36
Peniche,75,PT,1583030632,93,39.36,-9.38,59.0,5.82
Ţalkhā,42,EG,1583030633,73,31.05,31.38,50.68,8.39
Nhulunbuy,40,AU,1583030634,70,-12.23,136.77,87.8,5.82
Krasnoturansk,40,RU,1583030635,79,54.32,91.56,26.6,6.71
Batagay,0,RU,1583030636,71,67.63,134.63,3.42,2.21
Panama City,20,PA,1583030541,74,8.99,-79.52,78.8,8.05
Birao,90,CF,1583030639,15,10.28,22.79,71.64,11.61
Golden,75,US,1583030640,22,39.76,-105.22,51.8,11.41
Boyolangu,76,ID,1583030528,70,-8.12,111.89,85.14,1.86
Wajid,100,SO,1583030642,86,3.81,43.25,68.45,13.94
Olinda,40,BR,1583030643,83,-8.01,-34.86,80.6,5.82
São João da Barra,100,BR,1583030644,94,-21.64,-41.05,73.99,3.27
Bilma,0,NE,1583030646,15,18.69,12.92,68.36,6.87
Kitimat,75,CA,1583030647,74,54.05,-128.65,35.6,4.7
Urmia,20,IR,1583030648,80,37.55,45.08,39.2,6.93
Ciudad Bolivar,1,VE,1583030649,68,8.12,-63.55,78.15,12.77
Goba,23,ET,1583030650,62,7.02,39.98,50.83,4.14
Batagay-Alyta,12,RU,1583030651,56,67.8,130.41,3.51,1.83
Lensk,96,RU,1583030652,89,60.73,114.93,13.57,2.06
Tselinnoye,97,RU,1583030654,96,53.08,85.67,21.78,3.56
Mahibadhoo,49,MV,1583030655,71,3.78,72.97,81.73,11.36
Russell,1,US,1583030656,61,32.35,-85.2,50.0,3.74
Kashgar,75,CN,1583030657,33,39.45,75.98,42.8,6.71
Taltal,12,CL,1583030658,87,-25.4,-70.48,61.03,1.43
Warendorf,75,DE,1583030659,70,51.95,7.98,43.0,16.11
Arrifes,75,PT,1583030661,93,37.77,-25.7,60.8,16.11
Tautira,75,PF,1583030662,94,-17.73,-149.15,75.2,5.82
Mitú,55,CO,1583030663,92,1.2,-70.17,74.05,1.9
Baruun-Urt,0,MN,1583030664,85,46.68,113.28,10.2,10.0
Kem',0,RU,1583030665,84,64.96,34.58,9.09,7.02
Mogadishu,100,SO,1583030622,83,2.04,45.34,79.72,13.98
Fortuna,40,US,1583030509,81,40.6,-124.16,48.2,16.11
Dapdap,0,PH,1583030669,68,12.06,125.49,80.26,9.69
Bara,27,NG,1583030670,19,10.37,10.73,74.25,6.6
Mandāwar,0,IN,1583030671,71,29.5,78.13,65.41,1.95
Nizhnyaya Tavda,100,RU,1583030672,95,57.67,66.17,23.67,7.7
Sault Ste. Marie,1,CA,1583030492,72,46.52,-84.33,17.6,4.7
Diu,0,IN,1583030674,70,20.71,70.98,73.81,9.04
La Orilla,0,MX,1583030676,81,17.98,-102.23,74.95,3.36
Abu Dhabi,0,AE,1583030423,93,24.47,54.37,69.01,3.36
Buraidah,0,SA,1583030500,62,26.33,43.98,53.6,8.05
Belaya Gora,0,RU,1583030556,79,68.53,146.42,8.69,5.68
Cururupu,100,BR,1583030680,97,-1.83,-44.87,74.01,1.57
Quryq,100,KZ,1583030464,72,43.2,51.65,45.9,14.92
Nakhon Sawan,96,TH,1583030683,51,15.7,100.14,91.0,3.2
Phuthaditjhaba,42,ZA,1583030684,97,-28.52,28.82,46.83,2.73
Kerrville,1,US,1583030609,44,30.05,-99.14,63.0,11.41
Salisbury,28,GB,1583030543,80,51.07,-1.8,45.0,21.92
Nabire,100,ID,1583030446,58,-3.37,135.48,89.74,6.33
Batangafo,28,CF,1583030688,24,7.3,18.28,71.53,1.23
Nemuro,75,JP,1583030690,73,43.32,145.57,24.8,4.7
Roebourne,40,AU,1583030691,37,-20.78,117.13,99.9,17.09
Souillac,40,MU,1583030692,94,-20.52,57.52,77.0,3.47
Ilo,64,PE,1583030693,87,-17.64,-71.34,72.18,3.29
Illapel,0,CL,1583030694,79,-31.63,-71.17,57.74,0.63
Siocon,100,PH,1583030695,77,7.71,122.14,81.72,10.87
Mbini,95,GQ,1583030697,82,1.57,9.61,82.27,9.95
Havre-St-Pierre,75,CA,1583030644,85,50.23,-63.6,17.6,10.29
Ciurila,100,RO,1583030699,80,46.65,23.55,36.0,8.05
Rurrenabaque,99,BO,1583030700,74,-14.44,-67.53,72.88,2.06
Elizabeth City,1,US,1583030691,43,36.29,-76.25,41.0,6.93
Grindavik,75,IS,1583030702,74,63.84,-22.43,35.6,12.75
Raudeberg,100,NO,1583030703,56,61.99,5.14,41.0,27.51
Talnakh,98,RU,1583030454,77,69.49,88.4,6.8,20.13
Ketchikan,75,US,1583030509,80,55.34,-131.65,42.8,11.41
Davidson,1,US,1583030707,55,36.15,-86.78,41.0,3.36
Nuuk,0,GL,1583030708,65,64.18,-51.72,3.2,9.17
Qaqortoq,0,GL,1583030709,35,60.72,-46.03,6.8,4.7
Riberalta,100,BO,1583030710,97,-10.98,-66.1,73.47,4.27
Departamento de Maldonado,0,UY,1583030666,88,-34.67,-54.92,68.0,6.93
Chifeng,95,CN,1583030713,65,42.27,118.96,22.68,10.49
Soubre,0,CI,1583030714,88,5.79,-6.61,76.33,2.24
Collie,86,AU,1583030715,34,-33.37,116.15,77.0,13.27
Jejūri,0,IN,1583030716,34,18.28,74.17,75.4,4.83
Harper,31,LR,1583030717,94,4.38,-7.72,77.65,3.24
Ulaangom,39,MN,1583030718,83,49.98,92.07,7.66,0.78
Ýpsonas,0,CY,1583030720,76,34.69,32.96,51.8,8.05
Shetpe,80,KZ,1583030721,82,44.17,52.12,35.92,9.42
Bilibino,100,RU,1583030722,97,68.05,166.44,-2.69,3.56
Hīt,0,IQ,1583030723,54,33.64,42.83,57.34,9.57
San Rafael del Sur,0,NI,1583030724,62,11.85,-86.44,77.27,11.65
Narasannapeta,16,IN,1583030725,61,18.42,84.05,77.32,4.23
Beringovskiy,0,RU,1583030727,83,63.05,179.32,-4.0,21.94
Nichinan,75,JP,1583030728,76,31.6,131.37,57.2,5.82
Santa Cruz de Tenerife,0,ES,1583030729,54,28.47,-16.25,64.99,10.29
Ostrovnoy,100,RU,1583030730,90,68.05,39.51,26.65,19.75
Daşoguz,100,TM,1583030731,93,41.84,59.97,39.2,6.93
Waipawa,70,NZ,1583030510,72,-41.41,175.52,69.01,13.87
Bagotville,8,AU,1583030734,69,-28.98,153.42,84.2,10.29
Clyde River,1,CA,1583030733,67,70.47,-68.59,-23.8,18.34
Alamosa,1,US,1583030736,32,37.47,-105.87,41.0,10.29
Prado,76,BR,1583030737,81,-17.34,-39.22,80.83,6.87
Tirschenreuth,1,DE,1583030738,100,49.88,12.33,43.0,3.36
Shakawe,100,BW,1583030740,92,-18.37,21.85,67.21,3.49
Fasa,0,IR,1583030741,93,28.94,53.65,39.2,2.89
Ulverstone,100,AU,1583030742,63,-41.15,146.17,68.0,7.72
Panabá,1,MX,1583030743,67,21.28,-88.27,66.87,9.98
Bowen,50,AU,1583030744,58,-20.02,148.23,91.0,16.11
Usinsk,100,RU,1583030745,91,65.99,57.53,23.02,17.87
Arandis,99,NA,1583030746,91,-22.42,14.97,64.17,4.0
Shenkursk,99,RU,1583030748,85,62.11,42.9,18.32,11.48
Chara,74,RU,1583030749,93,56.91,118.26,-1.48,1.48
Tecolutla,96,MX,1583030750,79,20.48,-97.02,70.11,18.59
El'brus,97,RU,1583030751,88,43.26,42.64,16.72,3.4
La Palma,40,US,1583030752,67,33.85,-118.05,62.6,12.75
Pizarro,75,CO,1583030753,79,4.95,-77.37,81.34,6.44
Kralendijk,37,BQ,1583030755,69,12.15,-68.27,80.6,13.87
Port Hardy,75,CA,1583030756,80,50.7,-127.42,41.0,8.05
Sergeevka,100,KZ,1583030757,88,53.88,67.42,18.81,8.12
Jacareacanga,100,BR,1583030557,95,-6.22,-57.75,74.84,1.19
Gračac,40,HR,1583030759,65,44.3,15.85,51.01,9.17
Sandy Bay,100,AU,1583030578,43,-42.91,147.35,72.0,6.93
Muravlenko,100,RU,1583030518,89,63.79,74.52,28.87,24.65
Kudahuvadhoo,2,MV,1583030763,78,2.67,72.89,82.44,13.38
Kelvington,100,CA,1583030764,81,52.17,-103.53,26.73,5.3
Asău,100,RO,1583030511,70,46.43,26.4,35.01,12.75
Haining,75,CN,1583030766,87,30.54,120.69,63.0,8.95
Rūdbār,0,AF,1583030767,35,30.15,62.6,58.78,8.03
Verkhnyaya Inta,100,RU,1583030768,94,65.98,60.31,25.93,16.75
Champerico,0,GT,1583030769,73,14.3,-91.92,76.5,3.83
Kendal,100,GB,1583030481,75,54.33,-2.75,44.01,15.99
Panjāb,0,AF,1583030772,47,34.39,67.02,11.25,3.18
Ardeşen,90,TR,1583030773,93,41.19,40.99,48.2,13.87
Manzhouli,91,CN,1583030774,89,49.6,117.43,11.3,3.96
Chapais,90,CA,1583030775,84,49.78,-74.85,8.6,5.82
Najrān,0,SA,1583030776,22,17.49,44.13,66.2,3.36
Santa Barbara,90,US,1583030778,76,34.42,-119.7,60.8,6.93
São José da Coroa Grande,16,BR,1583030779,75,-8.9,-35.15,82.04,9.95
Pakse,71,LA,1583030780,61,15.12,105.78,80.6,4.7
Colares,40,PT,1583030781,87,38.8,-9.45,59.0,10.29
Romhány,100,HU,1583030782,64,47.93,19.26,39.99,6.93
Arona,0,ES,1583030784,77,28.1,-16.68,64.99,8.05
Sturgis,1,US,1583030785,62,41.8,-85.42,24.01,6.93
Arroyo de la Encomienda,90,ES,1583030786,93,41.61,-4.8,45.0,20.8
Angarsk,75,RU,1583030787,92,52.54,103.89,14.0,8.95
Adrar,0,MR,1583030788,15,20.5,-10.07,67.77,9.08
Nara,75,JP,1583030789,62,34.69,135.8,55.0,10.29
St. George's,20,GD,1583030559,69,12.06,-61.75,78.8,16.11
Arcata,40,US,1583030634,81,40.87,-124.08,48.2,16.11
Tigil',47,RU,1583030793,83,57.8,158.67,9.9,8.9
Quanzhou,20,CN,1583030794,83,24.91,118.59,69.8,4.47
Dunedin,25,NZ,1583030795,57,-45.87,170.5,66.99,13.0
Atambua,91,ID,1583030796,63,-9.11,124.89,84.11,5.1
Elesbão Veloso,100,BR,1583030797,95,-6.2,-42.14,73.71,0.94
Mogoytuy,99,RU,1583030799,84,51.28,114.92,12.78,5.08
Koumac,41,NC,1583030800,56,-20.57,164.28,87.87,2.39
Ayagoz,0,KZ,1583030801,73,47.97,80.44,22.19,11.23
Matagami,90,CA,1583030605,83,49.75,-77.63,-5.8,2.24
Sungai Besar,20,MY,1583030803,74,3.67,100.99,84.2,5.82
Sarkand,0,KZ,1583030804,37,45.41,79.92,33.3,2.84
Eydhafushi,0,MV,1583030805,75,5.1,73.07,81.27,11.43
Salmon Creek,20,US,1583030807,100,45.71,-122.65,42.01,5.91
Uporovo,100,RU,1583030808,94,56.31,66.27,24.89,8.95
Noyabrsk,100,RU,1583030809,90,63.2,75.45,29.23,26.17
